"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region","cat","cat2","Region2"
57782,"SUERC-21257",4880,30,"nutshell (charred)","Corylus avellana",23218,"Mitchell Laithes Farm, Wakefield",-1.6003,53.6749,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
57784,"SUERC-21259",4930,30,"grain (charred)","Triticum dicoccum/spelta",23218,"Mitchell Laithes Farm, Wakefield",-1.6003,53.6749,"NWEnglandWales","wheat","Wheat + Barley","england_wales"
56627,"SUERC-22432",4910,35,"grain (charred)","Triticum dicoccum",23238,"Laigh Newton East",-4.2193,55.606,"Scotland","wheat","Wheat + Barley","scotland_main"
56651,"SUERC-22433",3310,35,"grain (charred)","Hordeum vulgare",23234,"Laigh Newton West",-4.2338,55.6048,"Scotland","barley","Wheat + Barley","scotland_main"
62248,"SUERC-23198",2905,30,"grain","Hordeum vulgare",16986,"Springfield Lyons",0.5125,51.7458,"SEEngland","barley","Wheat + Barley","england_wales"
211470,"SUERC-2330",3035,35,"grain (charred)","Hordeum vulgare",3711,"Leitchestown Farm, Deskford",-2.8039,57.6586,"Scotland","barley","Wheat + Barley","scotland_main"
223190,"SUERC-2336",3045,35,"nutshell (charred)","Corylus avellana",3711,"Leitchestown Farm, Deskford",-2.8039,57.6586,"Scotland","hazelnut","Hazelnut","scotland_main"
223191,"SUERC-2340",3060,35,"grain (charred)","Triticum",3711,"Leitchestown Farm, Deskford",-2.8039,57.6586,"Scotland","wheat","Wheat + Barley","scotland_main"
226430,"SUERC-23705",3205,35,"grain","Hordeum vulgare",23251,"A2/A282, Darent valley",0.2388,51.4289,"SEEngland","barley","Wheat + Barley","england_wales"
226432,"SUERC-23710",3205,35,"grain","Hordeum vulgare",23251,"A2/A282, Darent valley",0.2388,51.4289,"SEEngland","barley","Wheat + Barley","england_wales"
226438,"SUERC-23719",4820,35,"nutshell (charred)","Corylus avellana",23252,"Dartford (A2-A282 improvement scheme)",0.2388,51.4289,"SEEngland","hazelnut","Hazelnut","england_wales"
226439,"SUERC-23720",4755,35,"nutshell (charred)","Corylus avellana",23252,"Dartford (A2-A282 improvement scheme)",0.2388,51.4289,"SEEngland","hazelnut","Hazelnut","england_wales"
75392,"SUERC-24179",3795,30,"nutshell (charred)","Corylus avellana",23261,"Buttington Cross",-3.1209,52.6707,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
74619,"SUERC-24597",4890,35,"grain (charred)","Triticum dicoccum",11652,"Woolwich Manor Way, London",0.0631,51.5122,"SEEngland","wheat","Wheat + Barley","england_wales"
222274,"SUERC-24750",4790,35,"nutshell","Corylus avellana",23291,"Warwick Bus Station",-1.5911,52.2825,"SEEngland","hazelnut","Hazelnut","england_wales"
225121,"SUERC-24752",4815,35,"nutshell","Corylus avellana",23291,"Warwick Bus Station",-1.5911,52.2825,"SEEngland","hazelnut","Hazelnut","england_wales"
74894,"SUERC-25581",3100,40,"grain","Hordeum vulgare",23308,"Brigg's Farm, Thorney",-0.1563,52.5879,"SEEngland","barley","Wheat + Barley","england_wales"
74914,"SUERC-25583",3185,40,"grain (single)","Hordeum vulgare",23308,"Brigg's Farm, Thorney",-0.1563,52.5879,"SEEngland","barley","Wheat + Barley","england_wales"
223214,"SUERC-2625",4420,35,"nutshell (charred)","Corylus avellana",23337,"Tinto Sand and Gravel, Thankerton, Biggar",-3.6019,55.6143,"Scotland","hazelnut","Hazelnut","scotland_main"
223215,"SUERC-2626",4455,35,"nutshell (charred)","Corylus avellana",23337,"Tinto Sand and Gravel, Thankerton, Biggar",-3.6019,55.6143,"Scotland","hazelnut","Hazelnut","scotland_main"
62074,"SUERC-26295",3415,30,"nutshells (charred)","Corylus avellana",11414,"Biddenham Loop, Bedford",-0.5123,52.1249,"SEEngland","hazelnut","Hazelnut","england_wales"
62086,"SUERC-26310",4475,35,"nutshells (charred)","Corylus avellana",11414,"Biddenham Loop, Bedford",-0.5123,52.1249,"SEEngland","hazelnut","Hazelnut","england_wales"
223216,"SUERC-2646",4740,35,"grain (charred)","Triticum",6692,"Forest Road, Kintore",-2.3539,57.2363,"Scotland","wheat","Wheat + Barley","scotland_main"
223217,"SUERC-2654",4755,35,"nutshell (charred)","Corylus avellana",6692,"Forest Road, Kintore",-2.3539,57.2363,"Scotland","hazelnut","Hazelnut","scotland_main"
65110,"SUERC-26897",5060,35,"nutshell (charred)","Corylus avellana",13986,"Dyffryn Lane, Berriew",-3.1855,52.6051,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
66838,"SUERC-27840",3545,30,"nutshell (charred)","Corylus avellana",23355,"Boltby Scar",-1.2244,54.264,"SEEngland","hazelnut","Hazelnut","england_wales"
57863,"SUERC-29619",3350,30,"grain","Triticum",23387,"A91/B9124 roundabout, Bannockburn, St Ninians",-3.902,56.0898,"Scotland","wheat","Wheat + Barley","scotland_main"
62865,"SUERC-30113",4440,40,"nutshell (charred)","Corylus avellana",23409,"Bolton Hill Quarry",-5.0172,51.7661,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
62867,"SUERC-30117",4555,40,"nutshell (charred)","Corylus avellana",23409,"Bolton Hill Quarry",-5.0172,51.7661,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
62868,"SUERC-30118",4560,40,"nutshell (charred)","Corylus avellana",23409,"Bolton Hill Quarry",-5.0172,51.7661,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
62869,"SUERC-30120",3805,40,"grain (charred)","Triticum aestivum",23409,"Bolton Hill Quarry",-5.0172,51.7661,"NWEnglandWales","wheat","Wheat + Barley","england_wales"
62870,"SUERC-30121",3450,40,"nutshell (charred)","Corylus avellana",23409,"Bolton Hill Quarry",-5.0172,51.7661,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
62879,"SUERC-30133",3655,40,"grain (charred)","Hordeum vulgare",23409,"Bolton Hill Quarry",-5.0172,51.7661,"NWEnglandWales","barley","Wheat + Barley","england_wales"
62880,"SUERC-30137",3695,40,"grain (charred)","Hordeum vulgare",23409,"Bolton Hill Quarry",-5.0172,51.7661,"NWEnglandWales","barley","Wheat + Barley","england_wales"
62881,"SUERC-30138",3715,40,"nutshell (charred)","Corylus avellana",23409,"Bolton Hill Quarry",-5.0172,51.7661,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
62882,"SUERC-30139",3810,40,"nutshell (charred)","Corylus avellana",23409,"Bolton Hill Quarry",-5.0172,51.7661,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
57873,"SUERC-30717",3015,35,"grain (charred)","Triticum",12472,"Brighton and Hove WTW, Peacehaven, Itchen Valley, Winchester",0.0115,50.7958,"SEEngland","wheat","Wheat + Barley","england_wales"
57874,"SUERC-30718",3070,35,"grain (charred)","Hordeum vulgare",12472,"Brighton and Hove WTW, Peacehaven, Itchen Valley, Winchester",0.0115,50.7958,"SEEngland","barley","Wheat + Barley","england_wales"
57877,"SUERC-30724",3095,35,"grain (charred)","Triticum",12472,"Brighton and Hove WTW, Peacehaven, Itchen Valley, Winchester",0.0115,50.7958,"SEEngland","wheat","Wheat + Barley","england_wales"
57880,"SUERC-30727",4815,35,"grain (charred)","Triticum",12472,"Brighton and Hove WTW, Peacehaven, Itchen Valley, Winchester",0.0115,50.7958,"SEEngland","wheat","Wheat + Barley","england_wales"
57881,"SUERC-30728",4890,35,"grain (charred)","Triticum",12472,"Brighton and Hove WTW, Peacehaven, Itchen Valley, Winchester",0.0115,50.7958,"SEEngland","wheat","Wheat + Barley","england_wales"
223220,"SUERC-308",4710,55,"nutshell (charred)","Corylus avellana",18935,"Maybury Park, Edinburgh",-3.3173,55.934,"Scotland","hazelnut","Hazelnut","scotland_main"
